timestamp,baseline_fitness,ga_best_fitness,baseline_makespan,ga_makespan,baseline_energy,ga_energy,baseline_sla_violations,ga_sla_violations
2025-12-13_11-28-20,245.37400000000002,413.57599999999996,300.0,600.0,414.75,579.0,10,0
2025-12-13_11-32-47,245.37400000000002,413.57599999999996,300.0,600.0,414.75,579.0,10,0
2025-12-13_14-04-52,245.37400000000002,413.57599999999996,300.0,600.0,414.75,579.0,10,0
